"","STABBR","RELAFFIL","TUITIONFEE_IN","WDRAW_ORIG_YR2_RT","LO_INC_WDRAW_ORIG_YR2_RT"
"1","AL","NULL","9857","0.300658376006","0.320645905421"
"2","AL","NULL","8328","0.189010989011","0.214227970897"
"3","AL","74","6900","0.533333333333","0.531531531532"
"4","AL","NULL","10280","0.177021276596","0.193347193347"
"5","AL","NULL","11068","0.33203125","0.382035928144"
"6","AL","NULL","10780","0.112621753247","0.16915052161"
"7","AL","NULL","4440","0.528271405493","0.600490196078"
"8","AL","NULL","NULL","0.204889406286","0.224018475751"
"9","AL","NULL","8020","0.283404255319","0.323099415205"
"10","AL","NULL","10968","0.104221635884","0.168961201502"
"11","AL","71","35804","0.105769230769","PrivacySuppressed"
"12","AL","NULL","4314","0.460835509138","0.474903474903"
"13","AL","68","10320","0.433460076046","0.444976076555"
"14","AL","NULL","17014","0.390807055051","0.433636228214"
"15","AL","NULL","4440","0.565687789799","0.610328638498"
"16","AL","NULL","4380","0.5348583878","0.554801670146"
"17","AL","74","20970","0.307368421053","0.341726618705"
"18","AL","NULL","3600","0.574885546109","0.61421319797"
"19","AL","NULL","NULL","PrivacySuppressed","PrivacySuppressed"
"20","AL","NULL","4380","0.557213930348","0.583032490975"
"21","AL","NULL","3726","0.474811812391","0.526209677419"
"22","AL","NULL","4140","0.482919254658","0.497354497354"
"23","AL","NULL","13850","0.372001957905","0.410450213605"
"24","AL","71","26400","0.160120845921","0.192307692308"
"25","AL","74","11232","PrivacySuppressed","PrivacySuppressed"
"26","AL","NULL","4410","0.630669546436","0.635"
"27","AL","NULL","4968","NULL","NULL"
"28","AL","NULL","8166","0.202645820806","0.248626373626"
"29","AL","NULL","4088","NULL","NULL"
"30","AL","NULL","4500","0.473064735174","0.502673796791"
"31","AL","NULL","4520","0.547874453715","0.591116917048"
"32","AL","54","17896","0.507936507937","0.617647058824"
"33","AL","NULL","4440","0.58984375","0.599620493359"
"34","AL","NULL","9204","0.246846846847","0.302013422819"
"35","AL","NULL","4440","0.466789667897","0.519323671498"
"36","AL","NULL","9418","0.218446601942","0.271428571429"
"37","AL","55","11794","0.362549800797","0.379120879121"
"38","AL","75","22210","0.252955082742","0.284916201117"
"39","AL","NULL","12400","0.226171243942","0.271698113208"
"40","AL","NULL","4411","0.636523266023","0.671523178808"
"41","AL","NULL","8480","0.214450422752","0.274436090226"
"42","AL","NULL","4440","0.554089709763","0.627049180328"
"43","AL","95","16720","0.246511627907","0.285714285714"
"44","AL","NULL","4380","NULL","NULL"
"45","AL","NULL","4500","0.473933649289","0.494382022472"
"46","AL","NULL","4440","0.557331480195","0.563137254902"
"47","AL","54","30490","0.061674008811","0.130434782609"
